@relation practice-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D//Users/tommaso/Desktop/MDD/LAB1/Edge2/images-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {P1,P2,P3,P4,P5,P6}

@data
25,15,15,15,15,15,16,15,16,15,16,15,16,16,15,15,16,16,16,16,15,28,15,16,16,15,16,32,15,15,16,16,16,P1
20,16,16,15,15,16,15,15,16,16,16,15,16,15,16,15,16,16,15,15,16,31,16,16,16,16,16,31,16,16,16,16,16,P1
14,16,15,16,17,13,17,15,15,16,16,16,16,16,14,16,15,15,16,16,16,27,15,16,15,15,16,32,15,16,16,16,16,P1
8,15,15,15,16,16,16,15,16,16,16,16,16,15,15,16,16,15,16,16,15,31,16,16,15,15,16,30,16,15,15,16,16,P1
28,16,15,16,16,15,15,16,15,16,16,16,15,16,15,15,16,15,16,16,15,31,16,15,16,16,15,31,16,16,16,15,15,P1
34,15,15,15,15,16,16,16,15,15,16,16,15,16,15,16,16,16,16,15,16,33,15,16,16,16,16,30,15,16,16,15,16,P1
19,15,15,15,15,15,16,15,15,15,16,16,15,16,16,15,15,16,16,16,15,32,15,16,16,16,15,31,15,16,15,16,15,P1
30,13,15,15,16,14,15,16,15,16,15,15,16,16,16,16,16,16,16,15,16,25,16,16,16,15,16,35,17,16,15,16,16,P1
10,15,14,14,16,16,16,16,16,16,16,16,16,16,15,15,16,16,15,15,15,32,15,16,16,16,16,31,15,15,15,16,16,P1
16,16,14,16,15,16,15,16,16,16,16,16,15,16,16,16,16,15,16,15,16,29,15,16,16,15,16,30,15,16,16,16,16,P1
11,16,15,15,16,16,16,16,15,16,15,16,16,16,16,16,16,15,15,15,15,32,16,15,16,16,16,30,16,16,16,16,15,P1
24,15,15,15,16,15,15,15,16,15,15,15,16,16,15,16,16,16,16,16,15,31,15,16,16,15,16,30,16,16,15,15,16,P1
8,14,15,16,16,14,16,16,15,16,15,15,16,16,15,16,15,16,16,16,16,31,16,16,16,16,16,31,16,16,16,16,16,P1
7,16,16,15,16,16,16,16,16,16,16,15,16,15,16,16,16,15,16,16,16,32,15,16,16,16,16,29,16,15,16,16,16,P1
33,14,16,15,17,15,15,16,16,16,15,15,15,16,16,15,16,15,16,16,16,31,16,16,16,15,16,31,15,16,16,16,16,P1
25,20,13,15,16,13,17,15,15,15,15,15,16,16,14,17,15,15,15,15,16,34,16,15,16,15,15,30,15,16,16,16,16,P1
23,15,17,16,16,16,15,15,15,16,15,15,16,15,15,16,15,15,15,15,16,31,16,16,16,16,15,30,15,16,16,16,16,P1
14,15,16,15,16,15,16,15,16,15,15,15,16,16,15,15,16,16,16,16,15,32,16,16,16,16,16,31,15,16,16,16,16,P1
14,18,16,17,14,16,13,15,16,15,16,15,14,17,16,16,16,16,16,15,16,37,16,16,16,16,15,27,16,15,15,16,15,P1
13,17,15,14,16,16,15,16,15,15,16,15,16,16,15,15,16,16,16,15,15,34,16,16,16,15,15,32,16,15,15,16,15,P1
18,17,16,15,16,15,16,15,16,16,15,15,15,15,15,16,16,16,16,16,16,27,16,15,16,16,16,18,16,14,16,16,16,P1
6,16,15,17,15,16,16,15,15,15,16,16,15,15,15,16,15,15,16,15,15,33,15,16,16,16,16,32,16,16,15,15,15,P1
9,19,15,16,16,15,16,17,15,15,15,16,15,16,16,15,15,17,15,16,15,34,16,16,16,16,16,31,16,16,16,15,16,P1
11,18,16,16,16,17,16,15,14,16,15,15,15,16,15,15,16,17,16,16,15,34,15,15,16,15,15,32,15,16,16,15,16,P1
7,15,14,16,19,17,15,14,16,16,16,15,15,15,16,16,15,16,16,15,16,34,16,15,15,16,16,31,16,15,16,16,15,P1
12,18,16,16,16,15,15,15,16,15,14,15,15,15,15,15,16,16,16,15,15,34,16,16,15,15,15,31,16,16,16,15,15,P1
12,16,15,16,15,16,16,16,16,15,16,15,16,15,16,16,16,15,16,16,17,34,16,16,15,16,16,32,16,15,15,16,15,P1
6,16,15,16,16,15,15,15,15,15,16,16,16,16,16,15,15,16,16,16,16,31,16,16,16,16,16,31,16,16,16,16,16,P1
7,15,17,17,16,16,16,16,15,16,15,16,16,16,15,15,15,15,16,16,16,34,16,16,15,15,16,31,16,15,15,15,16,P1
17,16,16,15,16,14,16,15,16,16,15,16,16,16,15,16,15,16,16,16,16,32,16,15,16,15,16,30,17,16,16,16,16,P1
6,17,15,15,14,15,15,15,15,15,16,16,16,15,16,15,15,16,16,15,16,33,15,15,16,16,16,32,15,15,16,15,16,P1
12,15,17,16,17,13,15,16,16,16,14,15,16,15,15,16,16,15,15,15,16,33,16,15,16,15,16,31,15,15,16,15,16,P1
15,15,16,16,16,15,15,16,16,15,16,15,16,15,15,15,16,16,16,15,16,31,16,16,16,15,16,30,16,16,15,16,15,P1
15,17,15,15,16,15,15,15,15,16,15,15,16,16,15,16,16,16,15,16,16,31,16,15,15,16,15,30,16,16,16,15,16,P1
28,15,16,16,16,15,16,15,16,15,16,16,16,16,15,16,16,16,15,16,17,31,16,16,16,16,16,31,16,16,16,16,16,P1
28,14,16,15,16,16,15,16,15,16,15,16,15,15,15,15,15,15,16,15,16,30,15,15,16,15,15,28,16,15,16,15,16,P1
23,15,16,15,16,15,16,16,15,16,15,16,15,15,15,15,16,16,15,15,16,31,15,16,15,15,15,30,16,16,16,15,16,P1
13,15,16,16,16,15,15,15,15,15,16,15,15,16,15,15,16,15,16,16,16,27,16,15,16,15,16,25,16,15,16,16,16,P1
21,15,14,16,15,16,16,15,16,15,15,15,16,15,15,16,16,16,16,16,16,30,16,16,16,16,16,29,15,16,15,16,16,P1
12,15,14,15,16,15,16,15,16,15,15,16,16,16,16,16,16,16,16,15,16,35,16,16,16,15,15,30,15,16,16,16,16,P1
12,15,17,15,16,16,15,15,16,15,15,16,15,15,15,15,15,16,16,15,16,32,16,16,16,15,16,33,16,15,15,16,15,P2
14,15,15,16,16,15,15,15,16,15,16,15,16,16,16,15,16,16,15,16,16,31,16,16,16,16,16,31,16,16,16,16,16,P2
14,15,15,16,16,14,15,16,16,15,16,15,16,16,16,16,15,16,15,15,16,30,16,16,15,16,16,31,15,16,16,16,16,P2
16,17,15,15,16,14,15,16,15,15,15,14,16,16,17,14,15,16,15,16,16,31,16,16,16,16,16,31,16,16,16,16,16,P2
7,16,16,15,16,15,16,15,17,16,15,15,15,15,15,16,16,16,16,16,16,28,16,15,16,15,16,35,16,16,16,15,16,P2
11,15,16,14,15,15,16,16,15,16,16,15,15,16,16,16,16,15,15,16,15,32,15,16,15,15,15,32,16,15,16,16,16,P2
15,15,16,16,16,16,15,15,16,15,16,16,15,15,16,16,15,15,16,16,16,31,15,16,16,16,16,30,16,15,16,16,16,P2
14,17,16,15,16,15,16,16,16,15,15,16,15,16,15,15,14,16,16,15,15,31,16,15,15,15,16,30,16,16,16,15,16,P2
10,15,15,15,16,15,16,16,15,15,16,16,16,16,15,15,16,16,16,16,15,31,15,16,16,16,15,33,16,15,15,15,16,P2
11,16,14,15,16,15,15,16,15,14,15,16,15,16,15,15,15,15,16,15,16,23,15,16,16,15,16,30,16,15,16,15,16,P2
14,15,14,15,14,14,17,16,13,15,14,16,16,15,16,16,15,15,16,15,15,31,16,16,16,16,16,30,16,16,16,15,16,P2
14,15,15,16,14,15,15,16,16,16,15,15,15,15,15,16,16,15,16,15,15,31,15,16,15,16,16,30,15,16,15,16,15,P2
15,17,14,16,15,17,16,16,16,16,15,16,15,15,16,15,16,15,15,16,16,29,15,15,16,15,16,31,16,16,16,16,16,P2
16,15,16,15,15,15,15,15,16,16,16,16,15,16,16,16,16,15,16,15,16,31,16,16,16,16,16,30,16,16,16,15,15,P2
15,15,13,16,16,16,15,17,16,16,15,16,15,15,17,16,17,15,15,16,16,31,16,16,16,15,15,30,16,16,15,16,16,P2
7,16,14,15,17,16,15,16,14,16,16,15,15,15,15,16,16,16,15,15,16,32,16,16,16,15,16,29,16,15,15,16,15,P2
10,15,17,17,16,18,15,15,17,16,14,15,15,15,17,16,15,15,15,15,16,31,16,16,16,15,16,31,15,15,15,16,16,P2
11,16,15,15,16,16,15,16,16,16,16,16,16,15,16,16,15,16,15,16,16,32,15,16,15,16,15,33,16,15,16,16,16,P2
12,15,16,15,16,15,15,15,15,16,15,15,16,16,16,15,16,16,16,16,15,28,16,16,15,16,16,32,15,16,16,16,15,P2
12,17,15,15,15,15,16,15,15,16,15,15,16,16,15,15,16,15,15,16,16,29,15,16,16,16,15,29,16,16,16,15,16,P2
13,16,14,15,16,16,16,15,15,15,16,15,16,15,15,15,15,16,16,16,14,31,16,16,16,16,16,30,15,16,16,16,16,P2
14,14,16,17,14,15,15,14,16,15,15,15,16,16,16,15,16,16,15,15,15,31,16,16,16,16,15,30,16,16,16,16,16,P2
10,16,16,15,14,15,14,16,17,17,15,16,16,16,16,15,15,16,15,16,17,31,15,15,16,16,16,31,16,16,16,16,16,P2
15,17,15,15,15,15,15,16,16,15,15,15,15,15,15,16,16,15,15,16,15,31,16,16,16,16,16,30,15,16,15,16,15,P2
15,15,15,16,16,15,16,15,16,16,16,16,16,16,15,15,16,15,16,16,15,31,16,16,16,15,16,31,16,16,16,16,16,P2
15,14,16,15,16,15,15,16,16,16,16,15,15,16,15,16,16,15,15,15,16,31,16,16,16,15,16,31,16,16,16,16,16,P2
19,16,14,16,15,15,16,16,15,16,15,15,15,16,16,14,15,16,15,15,16,31,16,16,16,15,16,31,16,16,16,16,16,P2
15,16,14,15,15,16,16,15,15,15,16,16,16,16,15,16,16,16,16,15,15,31,16,16,16,16,16,30,16,15,16,16,16,P2
14,15,16,15,15,17,16,16,15,15,15,16,15,16,14,15,16,16,16,15,14,31,16,16,16,15,16,30,16,16,16,16,15,P2
10,16,16,15,15,15,16,16,16,15,15,16,16,16,16,15,15,16,16,15,16,31,15,16,16,16,15,33,16,16,15,16,16,P2
11,16,14,16,16,15,16,16,15,15,15,16,15,16,16,16,16,15,15,16,16,29,16,15,16,16,15,29,15,16,15,16,16,P2
14,16,14,16,15,16,15,16,16,16,16,16,14,16,15,16,16,16,16,15,16,31,16,16,16,16,16,31,16,16,16,16,16,P2
12,16,15,16,15,15,16,16,15,16,16,16,16,16,16,16,16,15,16,16,15,31,15,16,16,16,16,31,16,15,16,16,16,P2
11,16,15,15,15,16,15,16,16,16,15,15,16,16,16,16,15,15,16,16,16,32,16,15,16,16,16,32,16,16,15,15,16,P2
12,17,15,15,15,15,16,16,15,15,14,15,16,16,15,16,16,15,15,15,16,31,16,16,16,16,16,31,16,16,16,16,16,P2
16,14,15,16,16,16,15,17,17,16,16,16,15,16,16,16,16,15,15,16,15,31,15,16,16,16,15,31,16,16,16,16,16,P2
10,16,14,16,15,15,15,14,15,18,16,17,15,16,16,15,16,16,16,16,14,28,15,15,15,16,16,31,15,17,16,16,15,P2
12,14,16,16,15,15,15,15,14,16,15,16,16,16,15,16,15,15,15,16,16,31,16,16,15,16,16,31,16,15,16,16,16,P2
12,16,16,16,16,16,16,15,16,16,16,15,16,15,15,16,15,16,15,16,16,32,15,16,16,16,16,33,16,15,15,15,15,P2
13,15,14,18,16,15,16,17,16,15,15,16,17,17,15,15,15,16,16,16,15,31,15,16,15,16,16,30,15,16,15,15,16,P2
20,15,15,15,16,13,16,14,17,15,15,17,16,16,16,16,15,16,15,16,15,31,16,15,16,16,16,31,16,16,16,15,16,P2
13,15,14,15,15,15,15,16,16,16,16,15,15,15,15,16,16,15,16,16,16,31,16,16,16,16,16,30,15,16,16,16,16,P2
12,15,16,15,15,15,16,16,17,16,15,15,15,15,15,15,16,15,15,16,16,23,15,15,15,16,16,29,15,16,15,15,16,P2
8,15,15,16,15,16,16,16,16,16,15,16,16,16,16,16,16,16,15,16,15,31,15,16,15,16,16,33,16,15,16,15,16,P2
8,17,15,16,17,16,16,17,15,15,15,15,15,16,16,16,16,16,15,15,15,31,15,16,16,16,16,30,16,15,16,15,16,P2
12,15,15,14,14,15,15,14,14,17,17,16,16,15,15,15,16,16,16,16,15,31,15,16,16,16,16,31,16,16,16,16,16,P2
12,15,14,16,17,16,15,17,15,18,17,14,15,15,16,15,15,15,15,16,16,31,16,16,15,15,16,30,16,16,16,16,15,P2
15,15,16,16,15,15,15,16,16,17,15,16,17,15,16,16,15,15,15,15,16,31,16,15,16,15,16,30,16,16,16,16,16,P2
6,16,17,17,17,17,15,14,17,14,17,16,16,16,15,16,15,17,16,14,14,32,16,16,15,15,15,29,16,16,16,16,16,P2
9,15,16,15,16,16,16,16,16,15,15,15,16,15,16,16,16,16,15,16,15,30,15,16,16,16,16,31,16,16,16,16,16,P2
12,16,15,16,16,15,16,16,15,16,15,16,17,15,15,15,15,16,16,16,15,22,16,16,15,15,16,30,16,15,16,16,16,P2
14,16,13,15,16,16,16,15,16,15,16,15,15,15,16,16,17,16,16,15,17,30,16,15,15,16,16,30,15,16,16,16,16,P2
11,16,14,15,16,16,16,16,16,15,15,16,16,16,16,15,16,15,16,16,16,23,16,16,16,15,16,27,16,16,16,15,16,P2
12,16,17,16,16,16,15,16,15,15,15,15,15,16,15,16,15,16,17,15,16,32,16,15,16,16,16,33,15,16,16,15,16,P2
13,14,14,15,15,16,16,15,16,15,15,16,15,14,15,14,14,15,16,16,15,31,16,16,15,16,16,31,16,16,16,16,16,P2
13,17,15,15,16,16,16,15,16,16,15,17,15,15,15,15,15,16,16,16,16,31,16,16,16,16,16,32,16,15,15,16,16,P2
14,16,15,17,16,16,15,15,16,15,15,15,16,15,16,17,16,15,16,16,15,31,15,16,16,16,16,30,15,15,15,15,16,P2
13,14,14,15,16,15,16,15,15,16,16,16,15,15,16,15,15,15,16,16,14,30,16,16,16,15,16,33,16,16,15,16,15,P2
11,15,15,15,16,16,15,15,15,16,16,15,16,16,15,16,16,15,16,16,15,31,15,16,16,16,15,31,16,16,16,16,15,P2
18,17,17,15,15,15,15,16,15,15,16,16,16,15,16,16,15,16,16,15,15,31,16,16,16,16,16,31,15,15,16,16,16,P2
14,16,16,15,15,15,15,15,16,15,15,16,15,15,15,16,15,16,15,15,15,31,16,16,16,15,15,30,16,16,16,16,16,P2
15,16,16,16,15,15,16,15,16,15,16,15,15,16,15,16,15,16,16,15,16,31,16,16,16,16,16,31,16,16,15,16,16,P2
6,18,15,17,17,16,15,16,16,17,15,16,16,16,13,14,15,14,15,15,15,32,15,16,15,15,16,29,16,16,16,16,16,P2
13,15,16,16,16,16,15,15,16,16,16,15,17,16,15,16,15,16,14,15,16,31,16,15,16,16,16,31,16,16,16,15,16,P2
8,15,18,15,16,16,16,16,16,15,16,16,16,16,16,15,16,15,15,16,16,23,16,16,16,16,16,33,16,15,15,15,16,P3
9,15,18,18,15,15,14,16,16,14,15,16,16,17,17,16,14,15,15,15,14,25,14,16,15,17,16,31,16,15,15,16,16,P3
7,17,16,15,16,16,15,15,17,15,17,15,16,15,15,15,15,16,16,15,15,32,16,15,16,16,16,31,15,16,15,15,15,P3
7,15,16,14,12,14,15,15,15,16,15,13,14,16,16,16,16,15,15,15,15,31,16,16,16,16,16,33,15,15,15,15,16,P3
8,11,14,18,15,10,13,16,14,15,15,16,14,16,15,16,16,16,16,16,16,24,18,15,16,16,15,32,16,16,15,16,16,P3
12,18,14,15,13,16,15,14,13,15,17,15,15,16,15,15,16,15,16,14,13,27,15,17,15,17,15,31,16,15,15,15,15,P3
12,15,15,15,15,16,14,16,17,14,14,16,14,16,16,15,16,17,16,17,15,31,16,16,16,15,16,31,16,16,16,16,16,P3
7,16,16,16,15,15,16,16,13,16,15,16,15,16,15,16,15,15,16,16,15,32,15,15,16,16,15,30,16,16,15,15,16,P3
8,17,19,16,14,18,14,15,16,15,16,16,15,17,15,17,16,16,16,14,16,24,14,16,15,16,16,29,17,15,17,16,16,P3
10,15,12,14,11,15,15,14,13,17,17,15,15,16,17,15,16,17,15,15,16,26,18,16,14,16,16,33,14,15,16,16,15,P3
7,16,16,16,14,17,17,16,16,16,16,16,16,15,15,17,16,16,15,16,15,23,16,15,15,16,15,34,15,15,15,16,16,P3
7,15,15,15,15,16,15,16,15,15,15,16,16,16,16,15,16,15,16,16,15,25,15,16,15,16,15,30,15,16,16,16,16,P3
7,19,14,11,16,17,15,16,15,17,14,15,17,16,15,17,15,16,16,16,16,31,16,16,16,16,16,34,16,15,16,15,15,P3
10,17,19,13,12,14,16,17,15,14,15,16,13,14,15,14,16,17,15,14,15,26,14,13,17,18,16,31,16,16,16,15,15,P3
10,15,13,17,17,16,16,15,14,14,15,13,15,16,15,15,16,16,16,15,15,31,15,16,16,16,16,32,16,16,15,15,16,P3
7,16,17,16,16,15,15,15,16,16,16,15,16,14,15,14,15,16,15,15,15,24,15,15,15,17,14,33,15,15,15,16,16,P3
12,17,13,15,17,16,16,16,16,16,16,15,15,16,14,17,15,16,15,16,15,26,15,16,16,16,15,31,16,16,15,15,15,P3
7,12,15,17,15,15,14,14,16,16,16,15,15,16,16,15,15,16,15,15,15,26,17,16,13,16,15,29,15,17,14,16,14,P3
7,16,17,17,14,17,15,14,17,16,17,16,14,15,16,16,15,16,15,16,16,25,15,15,16,16,15,34,16,15,15,15,16,P3
9,16,17,22,17,18,21,15,16,15,18,15,13,15,15,14,15,13,18,16,16,33,16,15,15,15,15,29,15,16,16,16,17,P3
7,16,16,16,15,15,15,14,16,17,16,15,16,15,15,16,15,14,14,17,16,25,16,16,16,16,15,29,15,14,14,16,15,P3
10,14,16,18,16,15,14,15,15,16,17,15,15,16,16,15,16,16,15,15,17,28,16,15,15,15,16,31,16,16,15,15,16,P3
11,16,15,15,15,15,13,15,13,17,14,15,19,17,15,14,16,17,15,16,17,29,16,16,16,16,16,32,15,15,16,15,16,P3
8,10,15,14,16,17,14,15,16,15,16,16,15,15,14,14,16,16,16,16,15,24,14,16,15,17,17,32,15,15,16,15,14,P3
10,16,15,16,17,16,16,16,16,16,14,17,17,16,16,17,16,15,15,13,16,26,16,17,15,15,16,32,16,17,15,16,16,P3
9,14,18,16,17,15,16,16,14,14,15,14,15,15,16,16,14,15,15,17,16,27,16,15,16,15,16,30,15,15,15,15,16,P3
9,15,19,21,16,16,15,15,16,10,17,15,15,16,16,15,16,15,16,17,18,31,15,15,16,16,16,30,16,15,15,15,15,P3
9,12,16,16,17,13,17,16,15,16,15,15,15,15,18,15,15,16,16,15,16,27,17,15,15,15,16,31,16,16,16,15,15,P3
8,18,15,17,15,15,16,16,16,15,14,17,16,14,15,14,17,16,14,15,15,27,15,16,16,16,16,30,15,15,14,15,16,P3
7,16,12,14,18,15,16,15,15,15,14,16,16,15,16,16,15,15,15,15,16,25,16,17,16,15,16,29,16,16,16,16,15,P3
9,15,14,16,16,18,15,14,16,16,16,16,16,18,15,15,15,16,16,16,16,31,16,15,16,16,16,32,16,16,16,16,15,P3
7,15,15,15,15,15,16,16,15,17,17,16,16,16,15,16,16,16,16,15,16,31,16,16,16,16,16,32,16,16,15,15,15,P3
9,16,15,17,17,16,17,15,15,15,16,15,15,16,16,15,14,16,15,16,15,24,14,15,16,16,16,30,17,16,15,15,15,P3
9,16,16,16,16,16,16,15,15,16,16,17,15,15,15,15,15,15,15,16,16,23,16,15,16,15,15,31,16,15,15,15,15,P3
13,12,15,15,14,14,14,13,15,16,16,15,15,15,16,17,15,15,16,16,17,26,16,16,16,16,15,32,16,16,15,16,16,P3
10,14,13,15,13,15,14,14,14,15,15,15,14,15,15,16,14,15,16,16,17,27,17,18,15,16,16,30,16,16,16,15,15,P3
8,16,15,17,17,16,16,15,15,16,14,16,15,15,15,16,16,15,15,15,17,24,17,15,15,15,15,30,16,15,16,16,15,P3
9,16,17,15,14,16,16,16,16,15,15,15,15,16,16,15,16,15,16,16,14,23,15,16,16,15,16,34,16,16,15,16,15,P3
11,15,16,13,15,17,15,16,15,14,16,14,17,16,16,16,15,16,16,16,15,28,16,14,15,15,15,31,16,16,16,15,15,P3
